Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS,nba_id,origin_country,played_until_year,is_defunct,plays_for,awards
1974,1,14,Maurice Lucas,PF,6-9,215.0,22.0,Marquette,Jr,CHI to  NYK,12,77420.0,US,1987.0,0.0,POR,
1970,7,112,Heywood Dotson,,,,,Columbia,Sr,PHX to  NYK,1,,,,,,
1966,2,15,Neil Johnson,F,6-7,220.0,23.0,Creighton,Sr,WAS to  NYK,4,77161.0,US,1969.0,0.0,PHX,
1960,8,56,Sam Stith,G,6-2,185.0,22.0,St. Bonaventure,Sr,CIN to  NYK,1,78259.0,US,1961.0,0.0,NYK,
1957,1,2,Charlie Tyra,FC,6-8,230.0,21.0,Louisville,Sr,DET to  NYK,5,78391.0,US,1961.0,0.0,NYK,
1956,1,6,Ron Sobie,G,6-3,185.0,21.0,DePaul,Sr,FWP to  NYK,4,78216.0,US,1959.0,0.0,NYK,
1956,3,18,Jerry Bird,F,6-6,200.0,21.0,Kentucky,Sr,MIN to  NYK,1,76168.0,US,1958.0,0.0,NYK,
1953,2,9,Don Ackerman,G,6-0,183.0,22.0,Long Island,Sr,BAL to  NYK,1,,,,,,
2024,1,25,Pacôme Dadiet,SF,6-9,210.0,18.0,Ratiopharm Ulm (Germany),2005 DOB *,,1,1642359.0,FR,2025.0,0.0,NYK,
2022,2,42,Trevor Keels,PG,6-3,215.0,18.0,Duke,Fr *,,1,1631211.0,US,2022.0,0.0,MIA,
2021,2,58,Jericho Sims,C,6-10,250.0,22.0,Texas,Sr *,,4,1630579.0,US,2025.0,0.0,MIL,
2020,1,8,Obi Toppin,F,6-9,220.0,22.0,Dayton,So *,,5,1630167.0,US,2025.0,0.0,IND,
2019,1,3,RJ Barrett,SG,6-6,214.0,19.0,Duke,Fr *,,6,1629628.0,CA,2025.0,0.0,TOR,
2018,1,9,Kevin Knox II,SF,6-8,215.0,18.0,Kentucky,Fr *,,7,1628995.0,US,2024.0,0.0,GSW,
2018,2,36,Mitchell Robinson,C,7-0,240.0,20.0,,*,,7,1629011.0,US,2025.0,0.0,NYK,{'All-Rookie Team': 1}
2017,1,8,Frank Ntilikina,PG,6-4,200.0,18.0,Strasbourg IG (France),1998 DOB *,,7,1628373.0,FR,2023.0,0.0,CHA,
2017,2,44,Damyean Dotson,SG,6-5,205.0,23.0,Houston,Sr,,5,1628422.0,US,2021.0,0.0,NYK,
2017,2,58,Ognjen Jaramaz,SG,6-4,181.0,21.0,KK Mega Bemax (Serbia),1995 DOB,,0,,,,,,
2015,1,4,Kristaps Porziņģis,FC,7-2,240.0,19.0,Real Betis Baloncesto (Spain),1995 DOB *,,10,204001.0,LV,2025.0,0.0,ATL,"{'All-Rookie Team': 1, 'NBA All-Star': 1, 'NBA Champion': 1, 'NBA Player of the Week': 4, 'NBA Rookie of the Month': 3}"
2014,2,34,Cleanthony Early,F,6-8,210.0,23.0,Wichita State,Sr,,2,203921.0,US,2015.0,0.0,NYK,
2014,2,51,Thanasis Antetokounmpo,SF,6-7,219.0,21.0,Delaware 87ers,1992 DOB,,6,203648.0,GR,2025.0,0.0,MIL,{'NBA Champion': 1}
2013,1,24,Tim Hardaway Jr.,SG,6-5,205.0,21.0,Michigan,Jr *,,12,203501.0,US,2025.0,0.0,DEN,{'All-Rookie Team': 1}
2011,1,17,Iman Shumpert,G,6-5,220.0,20.0,Georgia Tech,Jr *,,10,202697.0,US,2020.0,0.0,NYK,
2010,2,38,Andy Rautins,G,6-4,190.0,23.0,Syracuse,Sr,,1,202360.0,US,2010.0,0.0,NYK,
2010,2,39,Landry Fields,F,6-7,210.0,21.0,Stanford,Sr,,5,202361.0,US,2014.0,0.0,NYK,
2009,1,8,Jordan Hill,PF,6-10,240.0,21.0,Arizona,Jr *,,8,201941.0,US,2016.0,0.0,LAL,
2008,1,6,Danilo Gallinari,SF,6-10,236.0,19.0,AX Armani Exchange Milan (Italy),1988 DOB *,,16,201568.0,IT,2023.0,0.0,MIL,
2007,1,23,Wilson Chandler,SF,6-9,225.0,20.0,DePaul,So *,,13,201163.0,US,2019.0,0.0,DEN,
2006,1,20,Renaldo Balkman,F,6-8,208.0,21.0,South Carolina,Jr *,,6,200764.0,US,2011.0,0.0,NYK,
2006,1,29,Mardy Collins,G,6-6,220.0,21.0,Temple,Sr,,4,200776.0,US,2009.0,0.0,NYK,
2005,1,8,Channing Frye,FC,7-0,255.0,22.0,Arizona,Sr,,14,101112.0,US,2018.0,0.0,PHX,
2005,1,30,David Lee,FC,6-9,245.0,22.0,Florida,Sr,,12,101135.0,US,2016.0,0.0,NYK,
2004,2,43,Trevor Ariza,SF,6-8,215.0,18.0,UCLA,Fr *,,18,2772.0,US,2021.0,0.0,LAL,
2003,1,9,Michael Sweetney,PF,6-8,275.0,20.0,Georgetown,Jr *,,4,2552.0,US,2006.0,0.0,NYK,
2003,2,30,Maciej Lampe,FC,6-11,275.0,18.0,Complutense University (Spain),1985 DOB *,,3,2573.0,PL,2005.0,0.0,PHX,
2003,2,39,Slavko Vranes,C,7-6,282.0,20.0,Buducnost Voli Podgorica (Montenegro),1983 DOB *,,1,2582.0,ME,2003.0,0.0,POR,
2001,2,38,Ali Karadeniz,F,6-7,238.0,21.0,Arizona,Jr *,,1,,,,,,
2001,2,42,Eric Chenowith,C,7-1,270.0,22.0,Kansas,Sr,,3,,,,,,
2000,2,39,Lavor Postell,SF,6-5,215.0,22.0,St. John's,Sr,,4,2068.0,US,2002.0,0.0,NYK,
1999,2,46,J. R. Koch,F,6-10,223.0,22.0,Iowa,Sr,,2,,,,,,
1998,2,38,DeMarco Johnson,F,6-9,245.0,22.0,Charlotte,Sr,,1,1746.0,US,1999.0,0.0,NYK,
1997,1,25,John Thomas,FC,6-9,265.0,21.0,Minnesota,Sr,,5,1519.0,US,2005.0,0.0,TOR,
1996,1,18,John Wallace,PF,6-8,225.0,22.0,Syracuse,Sr,,7,961.0,US,2003.0,0.0,TOR,
1996,1,19,Walter McCarty,F,6-10,230.0,22.0,Kentucky,Sr,,10,962.0,US,2005.0,0.0,BOS,
1996,1,21,Dontae' Jones,F,6-8,220.0,21.0,Mississippi State,Jr *,,4,963.0,US,1997.0,0.0,BOS,
1994,1,24,Monty Williams,SF,6-8,225.0,22.0,Notre Dame,Sr,,10,42.0,US,2002.0,0.0,ORL,
1994,1,26,Charlie Ward,G,6-2,190.0,23.0,Florida State,Sr,,11,369.0,US,2004.0,0.0,NYK,
1992,1,20,Hubert Davis,SF,6-5,183.0,22.0,North Carolina,Sr,,12,93.0,US,2003.0,0.0,NYK,
1991,1,12,Greg Anthony,PG,6-0,176.0,23.0,UNLV,Sr,,11,21.0,US,2001.0,0.0,NYK,
1990,1,17,Jerrod Mustaf,FC,6-10,238.0,20.0,Maryland,So *,,6,1054.0,US,1993.0,0.0,PHX,
1989,2,50,Brian Quinnett,PF,6-8,235.0,23.0,Washington State,Sr,,4,77893.0,US,1991.0,0.0,NYK,
1988,1,19,Rod Strickland,PG,6-3,175.0,21.0,DePaul,Jr *,,17,393.0,US,2004.0,0.0,POR,
1988,2,37,Greg Butler,C,6-11,240.0,22.0,Stanford,Sr,,5,76320.0,US,1990.0,0.0,NYK,
1988,3,69,Phil Stinnie,PF,6-8,240.0,,VCU,Sr,,0,,,,,,
1987,1,18,Mark Jackson,PG,6-1,180.0,22.0,St. John's,Sr,,17,349.0,US,2003.0,0.0,NYK,
1987,2,25,Ron Moore,C,7-0,260.0,25.0,West Virginia State,Sr,,2,77637.0,US,1987.0,0.0,DET,
1987,3,49,Jerome Batiste,PF,6-8,225.0,23.0,McNeese State,Sr,,0,,,,,,
1987,4,71,Mike Morgan,C,,,,Drake,Sr,,0,,,,,,
1987,5,95,Glenn Clem,GF,6-5,,,Vanderbilt,Sr,,0,,,,,,
1987,6,117,Howard Triche,F,6-5,195.0,,Syracuse,Sr,,1,,,,,,
1987,7,141,Wayne Williams,G,,,,Saint Joseph's,Sr,,0,,,,,,
1986,1,5,Kenny Walker,F,6-8,210.0,21.0,Kentucky,Sr,,7,78440.0,US,1994.0,0.0,NYK,
1986,2,47,Michael Jackson,G,6-2,183.0,21.0,Georgetown,Sr,,4,77104.0,US,1989.0,0.0,SAC,
1986,4,71,Calvin Thompson,SG,6-6,205.0,,Kansas,Sr,,0,,,,,,
1986,5,94,Jerome Mincey,,,,,UAB,Sr,,0,,,,,,
1986,6,117,Butch Wade,F,,,,Michigan,Sr,,0,,,,,,
1986,7,140,Duane Kendall,,,,,South Carolina,Sr,,0,,,,,,
1985,1,1,Patrick Ewing,C,7-0,240.0,22.0,Georgetown,Sr,,17,121.0,JM,2001.0,0.0,NYK,
1985,2,47,Gerald Wilkins,SG,6-6,185.0,21.0,Chattanooga,Jr,,14,786.0,US,1998.0,0.0,NYK,
1985,4,73,Fred Cofield,G,6-3,190.0,23.0,Eastern Michigan,Sr,,2,76411.0,US,1986.0,0.0,NYK,
1985,5,96,Mike Schlegel,C,6-8,,,VCU,Sr,,0,,,,,,
1985,6,119,Kent Lockhart,GF,,,,UTEP,Sr,,0,,,,,,
1985,7,142,Ken Bantum,C,6-7,,,Cornell,Sr,,0,,,,,,
1984,3,64,Curtis Green,PG,6-1,185.0,,Southern Mississippi,Sr,,0,,,,,,
1984,4,87,Bob Thornton,C,6-10,225.0,21.0,UC Irvine,Jr,,8,738.0,US,1995.0,0.0,PHI,
1984,6,133,Eddielee Wilkins,FC,6-10,220.0,22.0,Gardner-Webb,Sr,,6,78534.0,US,1992.0,0.0,NYK,
1984,7,156,Ken Bannister,FC,6-9,235.0,24.0,St. Augustine's,Sr,,5,76094.0,US,1990.0,0.0,NYK,
1984,8,179,Ricky Tunstall,,,,,Youngstown State,Sr,,0,,,,,,
1984,9,201,Marc Marotta,F,6-7,210.0,21.0,Marquette,Sr,,0,,,,,,
1984,10,223,Mike Henderson,,,,,LIU Post,Sr,,0,,,,,,
1983,1,12,Darrell Walker,SG,6-4,180.0,22.0,Arkansas,Sr,,10,78437.0,US,1992.0,0.0,WAS,
1983,4,82,Mark Jones,PG,6-1,175.0,22.0,St. Bonaventure,Sr,,2,2891.0,US,2004.0,0.0,ORL,
1983,5,105,Troy Lee Mikell,,,,,East Tennessee State,Sr,,1,,,,,,
1983,6,128,Tony Simms,GF,6-5,,24.0,Boston University,Sr,,0,,,,,,
1983,7,151,Desi Barimore,,,,,Fresno State,Sr,,0,,,,,,
1983,8,174,Mike Lang,,,,,Penn State,Sr,,2,,,,,,
1983,9,196,Charles Jones,,,,,Marshall,Sr,,1,,,,,,
1983,10,217,Bernard Randolph,,,,,DePaul,Sr,,0,,,,,,
1982,1,6,Trent Tucker,G,6-5,193.0,22.0,Minnesota,Sr,,11,78375.0,US,1992.0,0.0,NYK,
1982,2,29,Scott Hastings,FC,6-10,235.0,22.0,Arkansas,Sr,,11,76968.0,US,1992.0,0.0,ATL,
1982,2,34,Vince Taylor,SG,6-5,180.0,21.0,Duke,Sr,,2,78303.0,US,1982.0,0.0,NYK,
1982,3,52,Dan Caldwell,F,6-8,215.0,22.0,Washington,Sr,,0,,,,,,
1982,3,57,Craig Tucker,PG,6-1,175.0,21.0,Illinois,Sr,,0,,,,,,
1982,4,75,Norm Anchrum,C,6-11,225.0,,UAB,Sr,,0,,,,,,
1982,5,98,Aaron Howard,,,,,Villanova,Sr,,0,,,,,,
1982,6,121,Mike Kanieski,,,,,Dayton,Sr,,0,,,,,,
1982,7,144,Phil Seymore,,,,,Canisius,Sr,,0,,,,,,
1982,8,167,Dan Terwilliger,,,,,Siena,Sr,,0,,,,,,
1982,9,190,Merle Scott,,,,,South Carolina State,Sr,,0,,,,,,
1982,10,211,John Leonard,,,,,Manhattan,Sr,,0,,,,,,
1981,2,40,Greg Cook,PF,6-8,225.0,22.0,LSU,Sr,,1,,,,,,
1981,3,57,Frank Brickowski,PF,6-9,240.0,21.0,Penn State,Sr,,13,783.0,US,1996.0,0.0,MIL,
1981,3,63,Wayne McKoy,PF,6-9,235.0,23.0,St. John's,Sr,,0,,,,,,
1981,4,86,Alex Bradley,F,6-6,215.0,21.0,Villanova,Sr,,1,76228.0,US,1981.0,0.0,NYK,
1981,5,109,Jim Wright,,,,,Rhode Island,Sr,,0,,,,,,
1981,6,132,John Blair,,,,,Monmouth,Sr,,1,,,,,,
1981,7,155,Terry Cramer,,,,,Ripon College,Sr,,0,,,,,,
1981,8,177,Brian O'Connor,,,,,Thomas More,Sr,,0,,,,,,
1981,9,198,Marty Headd,SG,6-2,180.0,22.0,Syracuse,Sr,,0,,,,,,
1981,10,218,Kevin Rogers,,,,,Saint Peter's,Sr,,1,,,,,,
1980,1,12,Mike Woodson,GF,6-5,195.0,22.0,Indiana,Sr,,11,78614.0,US,1990.0,0.0,SAC,
1980,2,36,Dewayne Scales,PF,6-8,208.0,21.0,LSU,Sr *,,3,78068.0,US,1983.0,0.0,NYK,
1980,3,58,Kurt Rambis,F,6-8,213.0,22.0,Santa Clara,Sr,,15,77905.0,US,1994.0,0.0,LAL,
1980,4,82,Joseph Chmelich,SF,6-7,220.0,22.0,Wisconsin,Sr,,0,,,,,,
1980,5,104,William Carey,,,,,Albright,Sr,,0,,,,,,
1980,6,128,Kelvin Hicks,,,,,New York Tech,Sr,,0,,,,,,
1980,7,150,Bobby Turner,,,,,Louisville,Sr,,0,,,,,,
1980,8,171,James Salters,PG,,,,Pennsylvania,Sr,,0,,,,,,
1980,9,190,Don Wiley,,,,,Monmouth,Sr,,0,,,,,,
1980,10,208,Gerald Ross,,,,,Grand Canyon,Sr,,0,,,,,,
1979,1,3,Bill Cartwright,C,7-1,245.0,21.0,San Francisco,Sr,,16,76362.0,US,1994.0,0.0,NYK,
1979,1,9,Larry Demic,PF,6-9,225.0,21.0,Arizona,Sr,,4,76553.0,US,1981.0,0.0,NYK,
1979,1,21,Sly Williams,F,6-7,210.0,21.0,Rhode Island,Jr *,,7,78570.0,US,1985.0,0.0,NYK,
1979,2,27,Reggie Carter,SG,6-3,175.0,21.0,St. John's,Jr,,2,76360.0,US,1981.0,0.0,NYK,
1979,2,34,Kim Goetz,SF,6-7,195.0,21.0,San Diego State,Sr,,0,,,,,,
1979,3,50,Geoff Huston,G,6-2,175.0,21.0,Texas Tech,Sr,,9,77087.0,US,1986.0,0.0,CLE,
1979,4,71,Larry Rogers,F,6-6,210.0,22.0,Houston,Sr,,0,,,,,,
1979,5,94,Johnny Green,,,,,UC Riverside,Sr,,0,,,,,,
1979,6,113,Phil Abney,F,6-5,,,New Mexico,Sr,,0,,,,,,
1979,7,134,Marc Coleman,F,6-5,,,Seton Hall,Sr,,0,,,,,,
1979,8,152,Billy Tucker,,,,,Tennessee State,Sr,,0,,,,,,
1979,9,172,Brett Wyatt,,,,,New Jersey City,Sr,,0,,,,,,
1979,10,189,Gordon Thomas,,,,,St. John's,Sr,,0,,,,,,
1978,1,4,Micheal Ray Richardson,PG,6-5,189.0,23.0,Montana,Sr,,8,77952.0,US,1985.0,0.0,NYK,
1978,2,32,John Rudd,F,6-7,230.0,22.0,McNeese State,Sr,,1,78036.0,US,1978.0,0.0,NYK,
1978,2,34,Greg Bunch,SF,6-6,190.0,22.0,Cal State Fullerton,Sr,,1,76300.0,US,1978.0,0.0,NYK,
1978,3,55,Marc Iavaroni,F,6-8,210.0,21.0,Virginia,Sr,,8,77092.0,US,1988.0,0.0,UTA,
1978,4,79,Erving Giddings,SF,6-7,210.0,,Dayton,Sr,,0,,,,,,
1978,5,100,Greg Green,,,,,Southern,Sr,,0,,,,,,
1978,6,121,Ed Warren,,,,,Briar Cliff,Sr,,0,,,,,,
1978,7,144,Gary Pember,,,,,Nasson College,Sr,,0,,,,,,
1978,8,162,Greg Sanders,,,,,St. Bonaventure,Sr,,0,,,,,,
1978,9,178,Denny Fields,C,6-8,220.0,,UNC Wilmington,Sr,,0,,,,,,
1978,10,195,Ernest Simons,,,,,Pace,Sr,,0,,,,,,
1977,1,10,Ray Williams,G,6-3,188.0,22.0,Minnesota,Sr,,10,78571.0,US,1986.0,0.0,NYK,
1977,2,26,Glen Gondrezick,F,6-6,218.0,21.0,UNLV,Sr,,7,76830.0,US,1982.0,0.0,DEN,
1977,2,32,Toby Knight,PF,6-9,210.0,22.0,Notre Dame,Sr,,5,77289.0,US,1981.0,0.0,NYK,
1977,3,54,Lloyd McMillian,SF,6-5,185.0,,Long Beach State,Sr,,0,,,,,,
1977,4,76,Steve Hayes,C,7-0,205.0,21.0,Idaho State,Sr,,9,76980.0,US,1985.0,0.0,CLE,
1977,5,98,Bill Terry,,,,,Monmouth,Sr,,0,,,,,,
1977,6,120,Jerry Graycraft,,,,,Milligan,Sr,,0,,,,,,
1977,7,140,Tom Weadock,,,,,St. John's,Sr,,0,,,,,,
1977,8,152,Ralph Drollinger,C,7-2,250.0,23.0,UCLA,Sr,,1,,,,,,
1977,8,159,Ken Slappy,,,,,Saint Peter's,Sr,,0,,,,,,
1976,2,25,Lonnie Shelton,FC,6-8,240.0,20.0,Oregon State,Jr *,,10,78133.0,US,1985.0,0.0,OKC,
1976,3,41,John McGill,SF,6-7,210.0,,Alcorn State,Sr,,1,,,,,,
1976,4,57,Rick Bullock,PF,6-9,240.0,,Texas Tech,Sr,,3,,,,,,
1976,5,76,Beaver Smith,,,,,St. John's,Sr,,0,,,,,,
1976,6,93,Joe Jones,,,,,Grambling State,Sr,,0,,,,,,
1976,7,110,Boyd Batts,F,6-7,185.0,20.0,UNLV,Sr,,0,,,,,,
1976,8,130,Rick McCutcheon,,,,,Arizona State,Sr,,0,,,,,,
1976,9,147,Archie Talley,,,,,Salem University,Sr,,0,,,,,,
1976,10,163,Eugene Shy,F,6-6,,,Florida,Sr,,0,,,,,,
1975,1,9,Gene Short,SF,6-6,200.0,21.0,Jackson State,Sr,,1,78138.0,US,1975.0,0.0,NYK,
1975,2,26,Luther Burden,SG,6-2,185.0,22.0,Utah,Sr,,2,76303.0,US,1977.0,0.0,NYK,
1975,2,34,Larry Fogle,SG,6-5,205.0,22.0,Canisius,Sr,,2,76728.0,US,1975.0,0.0,NYK,
1975,3,46,John Ramsey,SF,6-7,210.0,22.0,Seton Hall,Sr,,0,,,,,,
1975,4,63,David Vaughn,C,6-11,,22.0,Oral Roberts,Sr,,0,,,,,,
1975,5,80,Don Washington,FC,6-8,210.0,23.0,North Carolina,Sr,,0,,,,,,
1975,6,100,Hank Williams,SF,6-5,210.0,23.0,Jacksonville,Sr,,2,,,,,,
1975,7,117,Peter Davis,G,6-1,,,Michigan State,Sr,,2,,,,,,
1975,8,134,Jerry Homan,F,6-7,205.0,,Marquette,Sr,,1,,,,,,
1975,9,153,Tim van Blommesteyn,,,,,Princeton,Sr,,0,,,,,,
1975,10,168,Mo Rivers,,,,,NC State,Sr,,0,,,,,,
1974,2,32,Jesse Dark,SG,6-5,210.0,22.0,VCU,Sr,,1,76509.0,US,1974.0,0.0,NYK,
1974,3,50,Rudy Jackson,PF,6-9,205.0,20.0,Wichita State,Fr,,1,,,,,,
1974,4,68,Roy Ebron,PF,6-8,240.0,22.0,Louisiana,Sr,,0,,,,,,
1974,5,86,Greg Jackson,PG,6-0,180.0,21.0,Guilford,Sr,,1,77101.0,US,1974.0,0.0,PHX,
1974,6,104,Terry Mikan,,,,,St. Thomas,Sr,,0,,,,,,
1974,7,122,Billy Smith,,,,,Mercer,Sr,,0,,,,,,
1974,8,140,Dennis McDermott,,,,,St. Francis (NY),Sr,,0,,,,,,
1974,9,157,Earl Brown,,,,,Lafayette,Sr,,0,,,,,,
1974,10,174,John O'Connell,,,,,High Point,Sr,,0,,,,,,
1973,1,14,Mel Davis,F,6-6,220.0,22.0,St. John's,Jr,,4,76529.0,US,1976.0,0.0,NYK,
1973,2,28,Patrick McFarland,SG,6-5,185.0,21.0,Saint Joseph's,Sr,,0,,,,,,
1973,3,49,Allie McGuire,G,6-3,175.0,21.0,Marquette,Sr,,1,77535.0,US,1973.0,0.0,NYK,
1973,4,66,George Karl,G,6-2,185.0,21.0,North Carolina,Sr,,2,77223.0,US,1977.0,0.0,SAS,
1973,5,83,Dennis Bell,SF,6-5,185.0,21.0,Drake,Sr,,3,76142.0,US,1975.0,0.0,NYK,
1973,6,100,Larry Lilly,,,,,Alabama State,Sr,,0,,,,,,
1973,7,117,Mike Moore,,,,,Manhattan,Sr,,0,,,,,,
1973,8,134,Steve Rowell,,,,,Rhode Island,Sr,,0,,,,,,
1973,9,149,Joe Wise,,,,,Bridgewater State,Sr,,0,,,,,,
1973,10,163,Ed Fields,,,,,LIU Post,Sr,,0,,,,,,
1973,11,173,Charlie Edge,SF,6-6,210.0,23.0,LeMoyne-Owen College,Jr,,1,,,,,,
1972,1,8,Tom Riker,C,6-10,225.0,22.0,South Carolina,Sr,,3,77960.0,US,1974.0,0.0,NYK,
1972,3,41,Ansley Truitt,PF,6-9,215.0,21.0,California,Sr,,0,,,,,,
1972,4,58,Henry Bibby,G,6-1,185.0,22.0,UCLA,Sr,,9,76162.0,US,1980.0,0.0,PHI,
1972,5,74,Bob Ford,FC,6-7,228.0,22.0,Purdue,Sr,,0,,,,,,
1972,6,91,Greg Cleuss,,,,,St. John's,Sr,,1,,,,,,
1972,7,108,Tracy Tripucka,,,,,Lafayette,Sr,,1,,,,,,
1972,8,124,Tom Corde,G,,,,Ohio,Sr,,0,,,,,,
1972,9,139,Tom Sullivan,C,,,21.0,Fordham,Sr,,0,,,,,,
1972,10,152,Richie Garner,SG,,,,Manhattan,Sr,,0,,,,,,
1972,11,163,Chic Downing,,,,,Benedictine University,Sr,,0,,,,,,
1971,1,16,Dean Meminger,PG,6-0,175.0,22.0,Marquette,Sr,,6,77578.0,US,1976.0,0.0,NYK,
